"employment_summary_put_code","employment_summary_department_name","employment_summary_role_title","employment_summary_end_date","employment_summary_url","employment_summary_external_ids","employment_summary_display_index","employment_summary_visibility","employment_summary_path","employment_summary_created_date_value","employment_summary_last_modified_date_value","employment_summary_source_source_client_id","employment_summary_source_assertion_origin_orcid","employment_summary_source_assertion_origin_client_id","employment_summary_source_assertion_origin_name","employment_summary_source_source_orcid_uri","employment_summary_source_source_orcid_path","employment_summary_source_source_orcid_host","employment_summary_source_source_name_value","employment_summary_start_date_year_value","employment_summary_start_date_month_value","employment_summary_start_date_day_value","employment_summary_organization_name","employment_summary_organization_address_city","employment_summary_organization_address_region","employment_summary_organization_address_country","employment_summary_organization_disambiguated_organization_disambiguated_organization_identifier","employment_summary_organization_disambiguated_organization_disambiguation_source","employment_summary_start_date","employment_summary_source_source_orcid","employment_summary_source_source_client_id_uri","employment_summary_source_source_client_id_path","employment_summary_source_source_client_id_host","employment_summary_end_date_year_value","employment_summary_end_date_month_value","employment_summary_end_date_day_value","employment_summary_start_date_day","employment_summary_end_date_day","employment_summary_organization_disambiguated_organization","employment_summary_url_value","employment_summary_start_date_month","employment_summary_end_date_month","ORCID"
6487430,"Psychology","Associate Professor",NA,NA,NA,"1","public","/0000-0002-8678-0145/employment/6487430",2018-09-25,2019-12-10,NA,NA,NA,NA,"https://orcid.org/0000-0002-8678-0145","0000-0002-8678-0145","orcid.org","Ricardo M Tamayo","2013","09","01","Universidad Nacional de Colombia","Bogota",NA,"CO","28021","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://unal.edu.co/",NA,NA,"0000-0002-8678-0145"
8325350,"Psychology","Professor",NA,NA,NA,"1","public","/0000-0002-9620-4280/employment/8325350",2019-07-24,2019-07-24,NA,NA,NA,NA,"https://orcid.org/0000-0002-9620-4280","0000-0002-9620-4280","orcid.org","Thomas Denson",NA,NA,NA,"University of New South Wales","Sydney","New South Wales","AU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.psy.unsw.edu.au/contacts-people/academic-staff/professor-tom-denson",NA,NA,"0000-0002-9620-4280"
6944546,"Faculty in Wroclaw",NA,NA,NA,NA,"1","public","/0000-0003-2720-484X/employment/6944546",2018-12-10,2018-12-10,NA,NA,NA,NA,"https://orcid.org/0000-0003-2720-484X","0000-0003-2720-484X","orcid.org","Katarzyna Cantarero","2018","10","01","SWPS Uniwersytet Humanistycznospołeczny","Wroclaw","Dolnoslaskie","PL","86927","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0003-2720-484X"
13400955,NA,NA,NA,NA,NA,"0","public","/0000-0003-2737-8049/employment/13400955",2020-12-03,2020-12-03,NA,NA,NA,NA,NA,NA,NA,"Université libre de Bruxelles",NA,NA,NA,"Université libre de Bruxelles","1050","Brussels","BE","96648","RINGGOLD",NA,NA,"https://orcid.org/client/APP-934DAS04INM23LSR","APP-934DAS04INM23LSR","orcid.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0003-2737-8049"
5512705,"Faculté des Sciences Psychologiques et de l'Education","Full Professor",NA,NA,NA,"0","public","/0000-0003-2737-8049/employment/5512705",2018-03-12,2019-10-15,NA,NA,NA,NA,"https://orcid.org/0000-0003-2737-8049","0000-0003-2737-8049","orcid.org","Olivier Klein","2003","10","01","Université Libre de Bruxelles","Bruxelles",NA,"BE","26659","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0003-2737-8049"
3270343,"Communication and Information Science",NA,NA,NA,NA,"0","public","/0000-0003-3918-0646/employment/3270343",2017-02-23,2017-02-23,NA,NA,NA,NA,"https://orcid.org/0000-0003-3918-0646","0000-0003-3918-0646","orcid.org","Monique Pollmann","2011","08","01","Tilburg University","Tilburg",NA,"NL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0003-3918-0646"
2726897,"LESSAC","Head of LESSAC, Resp. Decisions and Behavior Axis",NA,NA,NA,"1","public","/0000-0001-6925-0970/employment/2726897",2016-12-06,2019-01-25,NA,NA,NA,NA,"https://orcid.org/0000-0001-6925-0970","0000-0001-6925-0970","orcid.org","Angela Sutan","2005","09","01","Burgundy School of Business","Dijon",NA,"FR","84282","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0001-6925-0970"
11653693,"Department of Economics","Assistant Professor (Tenure-Track)",NA,NA,NA,"1","public","/0000-0001-9606-0427/employment/11653693",2020-06-02,2020-07-24,NA,NA,NA,NA,"https://orcid.org/0000-0001-9606-0427","0000-0001-9606-0427","orcid.org","Felix Holzmeister","2020","06",NA,"University of Innsbruck","Innsbruck","Tyrol","AT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0001-9606-0427"
7365528,"Innsbruck EconLab","Lab Manager",NA,NA,NA,"1","public","/0000-0001-9606-0427/employment/7365528",2019-02-22,2019-02-22,NA,NA,NA,NA,"https://orcid.org/0000-0001-9606-0427","0000-0001-9606-0427","orcid.org","Felix Holzmeister","2018","03",NA,"University of Innsbruck","Innsbruck","Tyrol","AT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.uibk.ac.at/eeecon/econlab/",NA,NA,"0000-0001-9606-0427"
6287619,"Department of Banking and Finance","PostDoc and Lecturer",NA,NA,NA,"1","public","/0000-0001-9606-0427/employment/6287619",2018-08-17,2020-06-02,NA,NA,NA,NA,"https://orcid.org/0000-0001-9606-0427","0000-0001-9606-0427","orcid.org","Felix Holzmeister","2018","07",NA,"University of Innsbruck","Innsbruck","Tyrol","AT",NA,NA,NA,NA,NA,NA,NA,"2020","05",NA,NA,NA,NA,NA,NA,NA,"0000-0001-9606-0427"
1605062,"Department of Banking and Finance","PhD Candidate and Lecturer",NA,NA,NA,NA,"public","/0000-0001-9606-0427/employment/1605062",2016-02-29,2019-02-22,NA,NA,NA,NA,"https://orcid.org/0000-0001-9606-0427","0000-0001-9606-0427","orcid.org","Felix Holzmeister","2015","01",NA,"University of Innsbruck","Innsbruck","Tyrol","AT",NA,NA,NA,NA,NA,NA,NA,"2018","06",NA,NA,NA,NA,NA,NA,NA,"0000-0001-9606-0427"
8494089,"Psychology","Assistant Professor",NA,NA,NA,"1","public","/0000-0002-1050-0151/employment/8494089",2019-08-20,2019-08-20,NA,NA,NA,NA,"https://orcid.org/0000-0002-1050-0151","0000-0002-1050-0151","orcid.org","Keith Wylie","2019","08","11","Emporia State University","Emporia","Kansas","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-1050-0151"
15707642,"Department of Social Psychology","Academic",NA,NA,NA,"0","public","/0000-0002-9403-6084/employment/15707642",2021-09-02,2021-09-02,NA,NA,NA,NA,NA,NA,NA,"Tilburg University - PURE","2021","09","01","Tilburg University","Tilburg",NA,"NL",NA,NA,NA,NA,"https://orcid.org/client/APP-7ZC860H2K0QXLW2B","APP-7ZC860H2K0QXLW2B","orcid.org","2025","09","01",NA,NA,NA,NA,NA,NA,"0000-0002-9403-6084"
1349810,"Banking and Finance","Head of the Department of Banking and Finance",NA,NA,NA,"0","public","/0000-0003-0073-0321/employment/1349810",2015-11-17,2015-11-17,NA,NA,NA,NA,"https://orcid.org/0000-0003-0073-0321","0000-0003-0073-0321","orcid.org","Juergen Huber","2010","10",NA,"University of Innsbruck","Innsbruck",NA,"AT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0003-0073-0321"
1349800,"Banking and Finance","Full Professor in Finance",NA,NA,NA,"0","public","/0000-0003-0073-0321/employment/1349800",2015-11-17,2015-11-17,NA,NA,NA,NA,"https://orcid.org/0000-0003-0073-0321","0000-0003-0073-0321","orcid.org","Juergen Huber","2008","10",NA,"University of Innsbruck","Innsbruck",NA,"AT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0003-0073-0321"
1349792,NA,"Visiting Full Professor in Finance",NA,NA,NA,"0","public","/0000-0003-0073-0321/employment/1349792",2015-11-17,2015-11-17,NA,NA,NA,NA,"https://orcid.org/0000-0003-0073-0321","0000-0003-0073-0321","orcid.org","Juergen Huber","2008","03",NA,"University of Vienna","Vienna",NA,"AT",NA,NA,NA,NA,NA,NA,NA,"2008","07",NA,NA,NA,NA,NA,NA,NA,"0000-0003-0073-0321"
1349783,NA,"Associate Professor in Finance",NA,NA,NA,"0","public","/0000-0003-0073-0321/employment/1349783",2015-11-17,2015-11-17,NA,NA,NA,NA,"https://orcid.org/0000-0003-0073-0321","0000-0003-0073-0321","orcid.org","Juergen Huber","2007","05",NA,"University of Innsbruck","Innsbruck",NA,"AT",NA,NA,NA,NA,NA,NA,NA,"2008","02",NA,NA,NA,NA,NA,NA,NA,"0000-0003-0073-0321"
1349775,NA,"Visiting Assistant Professor",NA,NA,NA,"0","public","/0000-0003-0073-0321/employment/1349775",2015-11-17,2015-11-17,NA,NA,NA,NA,"https://orcid.org/0000-0003-0073-0321","0000-0003-0073-0321","orcid.org","Juergen Huber","2006","04",NA,"Yale University","New Haven","CT","US","5755","RINGGOLD",NA,NA,NA,NA,NA,"2007","02",NA,NA,NA,NA,NA,NA,NA,"0000-0003-0073-0321"
1349765,NA,"Assistant Professor of Finance",NA,NA,NA,"0","public","/0000-0003-0073-0321/employment/1349765",2015-11-17,2015-11-17,NA,NA,NA,NA,"https://orcid.org/0000-0003-0073-0321","0000-0003-0073-0321","orcid.org","Juergen Huber","1998",NA,NA,"University of Innsbruck","Innsbruck",NA,"AT",NA,NA,NA,NA,NA,NA,NA,"2007",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0003-0073-0321"
17103262,NA,"Prof.",NA,NA,NA,"1","public","/0000-0002-4285-8537/employment/17103262",2022-02-24,2022-02-24,NA,NA,NA,NA,"https://orcid.org/0000-0002-4285-8537","0000-0002-4285-8537","orcid.org","Chris Donkin","2022",NA,NA,"Ludwig-Maximilians-Universität München","Munich",NA,"DE","grid.5252.0","GRID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-4285-8537"
17103266,NA,"Ass. Prof.",NA,NA,NA,"1","public","/0000-0002-4285-8537/employment/17103266",2022-02-24,2022-02-24,NA,NA,NA,NA,"https://orcid.org/0000-0002-4285-8537","0000-0002-4285-8537","orcid.org","Chris Donkin","2012",NA,NA,"UNSW Sydney","Sydney","New South Wales","AU","grid.1005.4","GRID",NA,NA,NA,NA,NA,"2021",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-4285-8537"
17103277,NA,"Post-doc",NA,NA,NA,"1","public","/0000-0002-4285-8537/employment/17103277",2022-02-24,2022-02-24,NA,NA,NA,NA,"https://orcid.org/0000-0002-4285-8537","0000-0002-4285-8537","orcid.org","Chris Donkin","2010",NA,NA,"Indiana University","Bloomington","IN","US","1772","RINGGOLD",NA,NA,NA,NA,NA,"2011",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-4285-8537"
14436977,"Psychometrics and Statistics","Professor",NA,NA,NA,"1","public","/0000-0002-5030-4091/employment/14436977",2021-04-01,2021-04-01,NA,NA,NA,NA,"https://orcid.org/0000-0002-5030-4091","0000-0002-5030-4091","orcid.org","Don van Ravenzwaaij","2021","04","01","University of Groningen","Groningen",NA,"NL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.donvanravenzwaaij.com",NA,NA,"0000-0002-5030-4091"
5309877,"Psychometrics and Statistics","Associate Professor",NA,NA,NA,"1","public","/0000-0002-5030-4091/employment/5309877",2018-02-01,2021-04-01,NA,NA,NA,NA,"https://orcid.org/0000-0002-5030-4091","0000-0002-5030-4091","orcid.org","Don van Ravenzwaaij","2018","02","01","University of Groningen","Groningen",NA,"NL",NA,NA,NA,NA,NA,NA,NA,"2021","03","31",NA,NA,NA,NA,NA,NA,"0000-0002-5030-4091"
2403440,"Psychometrics and Statistics","Assistant Professor",NA,NA,NA,"0","public","/0000-0002-5030-4091/employment/2403440",2016-10-11,2018-02-01,NA,NA,NA,NA,"https://orcid.org/0000-0002-5030-4091","0000-0002-5030-4091","orcid.org","Don van Ravenzwaaij","2015","08","01","University of Groningen","Groningen",NA,"NL",NA,NA,NA,NA,NA,NA,NA,"2018","01","31",NA,NA,NA,NA,NA,NA,"0000-0002-5030-4091"
2403561,"Cognitive and Quantitative Psychology","Assistant Professor",NA,NA,NA,"0","public","/0000-0002-5030-4091/employment/2403561",2016-10-11,2017-01-24,NA,NA,NA,NA,"https://orcid.org/0000-0002-5030-4091","0000-0002-5030-4091","orcid.org","Don van Ravenzwaaij","2013","08",NA,"University of Newcastle","Newcastle","New South Wales","AU",NA,NA,NA,NA,NA,NA,NA,"2015","08",NA,NA,NA,NA,NA,NA,NA,"0000-0002-5030-4091"
2403587,"Cognitive Psychology","Post-doc",NA,NA,NA,"0","public","/0000-0002-5030-4091/employment/2403587",2016-10-11,2017-01-24,NA,NA,NA,NA,"https://orcid.org/0000-0002-5030-4091","0000-0002-5030-4091","orcid.org","Don van Ravenzwaaij","2012","04",NA,"University of New South Wales","Sydney","New South Wales","AU",NA,NA,NA,NA,NA,NA,NA,"2013","07",NA,NA,NA,NA,NA,NA,NA,"0000-0002-5030-4091"
13553611,"Departement Klinische Forschung","Senior Statistician",NA,NA,NA,"1","public","/0000-0002-6719-2508/employment/13553611",2020-12-21,2020-12-21,NA,NA,NA,NA,"https://orcid.org/0000-0002-6719-2508","0000-0002-6719-2508","orcid.org","Gilles Dutilh","2017","01","01","Universitätsspital Basel","Basel",NA,"CH","http://dx.doi.org/10.13039/100016015","FUNDREF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-6719-2508"
12092490,"Psychology","Centennial Professor",NA,NA,NA,"1","public","/0000-0002-8301-7726/employment/12092490",2020-07-09,2020-07-09,NA,NA,NA,NA,"https://orcid.org/0000-0002-8301-7726","0000-0002-8301-7726","orcid.org","Gordon Logan","2000",NA,NA,"Vanderbilt University","Nashville","Tennessee","US","grid.152326.1","GRID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-8301-7726"
12092486,"Psychology","Professor",NA,NA,NA,"1","public","/0000-0002-8301-7726/employment/12092486",2020-07-09,2020-07-09,NA,NA,NA,NA,"https://orcid.org/0000-0002-8301-7726","0000-0002-8301-7726","orcid.org","Gordon Logan","1986",NA,NA,"University of Illinois","Champaign/Urbana","IL","US","http://dx.doi.org/10.13039/100010443","FUNDREF",NA,NA,NA,NA,NA,"2000",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-8301-7726"
12092471,"Psychological Sciences","Associate Professor",NA,NA,NA,"1","public","/0000-0002-8301-7726/employment/12092471",2020-07-09,2020-07-09,NA,NA,NA,NA,"https://orcid.org/0000-0002-8301-7726","0000-0002-8301-7726","orcid.org","Gordon Logan","1984",NA,NA,"Purdue University","West Lafayette","IN","US","311308","RINGGOLD",NA,NA,NA,NA,NA,"1986",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-8301-7726"
12092462,"Psychology","University Research Fellow",NA,NA,NA,"1","public","/0000-0002-8301-7726/employment/12092462",2020-07-09,2020-07-09,NA,NA,NA,NA,"https://orcid.org/0000-0002-8301-7726","0000-0002-8301-7726","orcid.org","Gordon Logan","1983",NA,NA,"University of British Columbia","Vancouver","British Columbia","CA","grid.17091.3e","GRID",NA,NA,NA,NA,NA,"1984",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-8301-7726"
12092456,"Psychology","Assistant Professor/University Research Fellow",NA,NA,NA,"1","public","/0000-0002-8301-7726/employment/12092456",2020-07-09,2020-07-09,NA,NA,NA,NA,"https://orcid.org/0000-0002-8301-7726","0000-0002-8301-7726","orcid.org","Gordon Logan","1976",NA,NA,"University of Toronto","ON","ON","CA","http://dx.doi.org/10.13039/501100003579","FUNDREF",NA,NA,NA,NA,NA,"1983",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-8301-7726"
12092504,"Psychology","Postdoctoral Fellow",NA,NA,NA,"1","public","/0000-0002-8301-7726/employment/12092504",2020-07-09,2020-07-09,NA,NA,NA,NA,"https://orcid.org/0000-0002-8301-7726","0000-0002-8301-7726","orcid.org","Gordon Logan","1975",NA,NA,"University of Waterloo","Waterloo","ON","CA","http://dx.doi.org/10.13039/501100004490","FUNDREF",NA,NA,NA,NA,NA,"1976",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-8301-7726"
12092442,"Psychology","Sessional Lecturer",NA,NA,NA,"1","public","/0000-0002-8301-7726/employment/12092442",2020-07-09,2020-07-09,NA,NA,NA,NA,"https://orcid.org/0000-0002-8301-7726","0000-0002-8301-7726","orcid.org","Gordon Logan","1974","09",NA,"Queen's University","Kingston","Ontario","CA","grid.410356.5","GRID",NA,NA,NA,NA,NA,"1975","08",NA,NA,NA,NA,NA,NA,NA,"0000-0002-8301-7726"
6323810,"Department of Psychology","Assistant Professor",NA,NA,NA,"1","public","/0000-0002-9019-6574/employment/6323810",2018-08-24,2018-08-24,NA,NA,NA,NA,"https://orcid.org/0000-0002-9019-6574","0000-0002-9019-6574","orcid.org","Jennifer Trueblood","2015","07",NA,"Vanderbilt University","Nashville","TN","US","5718","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-9019-6574"
6323828,"Cognitive Science","Assistant Professor",NA,NA,NA,"1","public","/0000-0002-9019-6574/employment/6323828",2018-08-24,2018-08-24,NA,NA,NA,NA,"https://orcid.org/0000-0002-9019-6574","0000-0002-9019-6574","orcid.org","Jennifer Trueblood","2012","07",NA,"University of California Irvine","Irvine","CA","US","8788","RINGGOLD",NA,NA,NA,NA,NA,"2015","06",NA,NA,NA,NA,NA,NA,NA,"0000-0002-9019-6574"
14940795,"Psychology","Professor",NA,NA,NA,"1","public","/0000-0001-5189-2801/employment/14940795",2021-05-31,2021-05-31,NA,NA,NA,NA,"https://orcid.org/0000-0001-5189-2801","0000-0001-5189-2801","orcid.org","Keith Hutchison","2003","08","15","Montana State University","Bozeman","MT","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.montana.edu/psychology/directory/1524199/keith-hutchison",NA,NA,"0000-0001-5189-2801"
14940812,"Psychology","Post-Doctoral Research Associate",NA,NA,NA,"1","public","/0000-0001-5189-2801/employment/14940812",2021-05-31,2021-05-31,NA,NA,NA,NA,"https://orcid.org/0000-0001-5189-2801","0000-0001-5189-2801","orcid.org","Keith Hutchison","2001","09","01","Washington University in St Louis","St Louis","MO","US","7548","RINGGOLD",NA,NA,NA,NA,NA,"2003","07","01",NA,NA,NA,NA,NA,NA,"0000-0001-5189-2801"
2033244,"Psychology","Associate Professor",NA,NA,NA,"0","public","/0000-0002-5372-4323/employment/2033244",2016-07-19,2019-10-15,NA,NA,NA,NA,"https://orcid.org/0000-0002-5372-4323","0000-0002-5372-4323","orcid.org","Melvin Yap","2013","01","01","National University of Singapore","Singapore",NA,"SG","37580","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-5372-4323"
2033243,"Psychology","Assistant Professor",NA,NA,NA,"0","public","/0000-0002-5372-4323/employment/2033243",2016-07-19,2019-10-15,NA,NA,NA,NA,"https://orcid.org/0000-0002-5372-4323","0000-0002-5372-4323","orcid.org","Melvin Yap","2007","08","01","National University of Singapore","Singapore",NA,"SG","37580","RINGGOLD",NA,NA,NA,NA,NA,"2012","12","31",NA,NA,NA,NA,NA,NA,"0000-0002-5372-4323"
7038918,"Analytics","Professor of Cognitive Analytics",NA,NA,NA,"1","public","/0000-0002-9689-4189/employment/7038918",2018-12-31,2018-12-31,NA,NA,NA,NA,"https://orcid.org/0000-0002-9689-4189","0000-0002-9689-4189","orcid.org","Buchanan, Erin M.","2019","01","01","Harrisburg University of Science and Technology","Harrisburg","PA","US","43313","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://harrisburgu.edu/profile/?smid=11236",NA,NA,"0000-0002-9689-4189"
156569,"Psychology","Associate Professor",NA,NA,NA,"1","public","/0000-0002-9689-4189/employment/156569",2014-03-11,2018-12-31,NA,NA,NA,NA,"https://orcid.org/0000-0002-9689-4189","0000-0002-9689-4189","orcid.org","Buchanan, Erin M.","2014","08","14","Missouri State University","Springfield","MO","US","7471","RINGGOLD",NA,NA,NA,NA,NA,"2018","12","31",NA,NA,NA,NA,NA,NA,"0000-0002-9689-4189"
156568,"Psychology","Assistant Professor",NA,NA,NA,"0","public","/0000-0002-9689-4189/employment/156568",2014-03-11,2014-07-22,NA,NA,NA,NA,"https://orcid.org/0000-0002-9689-4189","0000-0002-9689-4189","orcid.org","Buchanan, Erin M.","2010","08","01","Missouri State University","Springfield","MO","US","7471","RINGGOLD",NA,NA,NA,NA,NA,"2014","08","10",NA,NA,NA,NA,NA,NA,"0000-0002-9689-4189"
3311142,"Psychology","Instructional Assistant Professor",NA,NA,NA,"0","public","/0000-0002-9689-4189/employment/3311142",2017-02-28,2017-02-28,NA,NA,NA,NA,"https://orcid.org/0000-0002-9689-4189","0000-0002-9689-4189","orcid.org","Buchanan, Erin M.","2008","08",NA,"University of Mississippi","University Park","MS","US","8083","RINGGOLD",NA,NA,NA,NA,NA,"2010","08",NA,NA,NA,NA,NA,NA,NA,"0000-0002-9689-4189"
6617082,NA,NA,NA,NA,NA,"1","public","/0000-0003-3676-8102/employment/6617082",2018-10-17,2021-09-02,NA,NA,NA,NA,"https://orcid.org/0000-0003-3676-8102","0000-0003-3676-8102","orcid.org","Chi-Shing Tse","2009","08",NA,"Chinese University of Hong Kong","New Territories",NA,"HK","26451","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0003-3676-8102"
3708011,"Psychology","Professor",NA,NA,NA,"0","public","/0000-0002-5141-3847/employment/3708011",2017-04-20,2017-04-20,NA,NA,NA,NA,"https://orcid.org/0000-0002-5141-3847","0000-0002-5141-3847","orcid.org","Wolfgang Lutz","2007","04","01","Universität Trier Fach Psychologie","Trier","Rheinland-Pfalz","DE","233362","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-5141-3847"
12320132,"Blue Brain Project","PostDoctoral Research Fellow",NA,NA,NA,"1","public","/0000-0003-0388-6321/employment/12320132",2020-08-03,2020-08-03,NA,NA,NA,NA,"https://orcid.org/0000-0003-0388-6321","0000-0003-0388-6321","orcid.org","Alberto Antonietti","2020","08","01","École Polytechnique Fédérale de Lausanne","Geneva",NA,"CH","27218","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0003-0388-6321"
8833920,"Department of Brain and Behavioral Sciences","PostDoctoral Research Fellow",NA,NA,NA,"1","public","/0000-0003-0388-6321/employment/8833920",2019-10-07,2020-08-03,NA,NA,NA,NA,"https://orcid.org/0000-0003-0388-6321","0000-0003-0388-6321","orcid.org","Alberto Antonietti","2019","07","01","University of Pavia","Pavia",NA,"IT","grid.8982.b","GRID",NA,NA,NA,NA,NA,"2020","06","30",NA,NA,NA,NA,NA,NA,"0000-0003-0388-6321"
